no,voice_name,stream_name,stream_link,unlock_img,voice_id
1,💜 banene - minion voice,2022/07/26 shu yamino organized neatly,https://www.youtube.com/watch?v=GvBPFY3altg&t=10821s,(1),spvoice_1
2,BOOBIES!,2022/01/23 【📻📶】first horror game stream (The Radio Station),https://www.youtube.com/watch?v=4TLRTBpsjmg&t=2988s,(2),norvoice_1
3,eyy baby it's me shu yamino,2021/12/22 how i got here,https://www.youtube.com/watch?v=NkbG17qCTSA&t=7s,(3),norvoice_2
4,💜 gottem,2022/04/27 how many bananas did we get (Just Chatting),https://www.youtube.com/watch?v=BTNvN_nK9eI&t=2553s,(4),spvoice_2
5,hehe,2022/11/02 Listening to stories... (Coffee Talk pt. 2),https://www.youtube.com/watch?v=1On2Foa5FNo&t=10744s,(5),norvoice_3
6,HUH!!!!,2022/11/10 Apex Legends... with a twist?,https://www.youtube.com/watch?v=fi7BrMLb2C0&t=10075s,(6),norvoice_4
7,💜 I could drive!!!!!,2022/03/21 i get 8th or lower = im a bad driver (Mario Kart 8 Deluxe),https://www.youtube.com/watch?v=dPqzkNsafJc&t=2290s,(7),sp_voice_3
8,I trust my yaminions,2022/08/01 Men of a Certain Age Gravitationally Pulled Downwards (Fall Guys),https://www.youtube.com/watch?v=YlA4mJ-d8eA&t=6338s,(8),norvoice_5
9,ICU PEE,2023/01/22 【#WrestleSanji2023】 making myself,https://www.youtube.com/watch?v=H-YZFB3cr-I&t=6980s,(9),norvoice_6
10,💜 I'm a nerd!!!,2022/12/03 lmao Valorant LET'S GO,https://www.youtube.com/watch?v=Hwvb3v0O5ys&t=11776s,(10),spvoice_4
11,I'm harder when I'm not drunk,2022/09/17 We are Valorant,https://www.youtube.com/watch?v=NaZrD9lxby8&t=14125s,(11),norvoice_7
12,It's a chicken mug!!,2022/06/04 mug. (Minecraft),https://www.youtube.com/watch?v=8KNCiv3qevk&t=7648s,(12),norvoice_8
13,lemongrab hbd,2022/06/16 5V5 VALO CUSTOM 2ND SEASON,https://www.youtube.com/watch?v=TxZ62ShjEg0&t=19452s,(13),norvoice_9
14,mgmg,2023/01/22 【#WrestleSanji2023】 making myself,https://www.youtube.com/watch?v=H-YZFB3cr-I&t=13158s,(14),norvoice_10
15,💜 nya - lemongrab,2022/05/26 yoink yoink (actually Jump King),https://www.youtube.com/watch?v=jNugczJi9d0&t=5475s,(15),spvoice_5
16,nya without emo,2022/05/24 how many valorant stream titles can I come up with (Valorant),https://www.youtube.com/watch?v=UCahY1BcLKE&t=21006s,(16),norvoice_11
17,oh oh sorcery spooky,2022/02/21 FULL LOBBY OVERWATCH! (Overwatch Collab),https://www.youtube.com/watch?v=LcDRKUxiffs&t=24985s,(17),norvoice_12
18,shall we cheers,2022/07/29 THE ??? + MILK TIER LIST,https://www.youtube.com/watch?v=N7yIm7pH0hI&t=1135s,(18),norvoice_13
19,Shu let me do it for you,2023/01/24 【Valorant】 Can The Cyborg Still Concussy?,https://www.youtube.com/watch?v=0Hy8WZyPtCU&list=PLt-RaSHMkJEmQdO4MMVOFPMgPTAwQ55b1&index=44&t=9165s,(19),norvoice_14
20,shut up this guy,2023/01/09 moregon (The Oregon Trail pt. 2),https://www.youtube.com/watch?v=1UTGM7EsNBo&t=9613s,(20),norvoice_15
21,UR MOM,2021/12/20 【DEBUT】i’m shu yamino,https://www.youtube.com/watch?v=Lmdz1C1rzXM&t=268s,(21),norvoice_16
22,wake up yaminion,2022/09/20 squidding around (Splatoon 3),https://www.youtube.com/watch?v=zOkDdjyIppM&t=10088s,(22),norvoice_17
23,you don't want to see me get mad,2022/05/26 yoink yoink (actually Jump King),https://www.youtube.com/watch?v=jNugczJi9d0&t=2754s,(23),norvoice_18
24,YOU'RE STILL ALIVE!!!,2022/03/20 swerve zombies (Project Zomboid Collab!),https://www.youtube.com/watch?v=WCM-q3sqNTQ&t=8462s,(24),norvoice_19
25,you're such a baka,2023/01/22 【#WrestleSanji2023】 making myself,https://www.youtube.com/watch?v=H-YZFB3cr-I&t=12258s,(25),norvoice_20
26,goose sound,2022/08/19 NijiEN Goose Goose Duck!! (Shu POV),https://www.youtube.com/watch?v=ZGYue2USQng&t=2748s,(26),norvoice_21
27,破防daipan,2022/08/11 hummus (Metroid Dread),https://www.youtube.com/watch?v=j6VvqhZkcWw&t=15799s,(27),norvoice_22
28,💜 痛痛飛走了,2022/02/17 snorlax squad (Pokémon Legends: Arceus pt. 4),https://www.youtube.com/watch?v=j0ZgTZGau1I&t=23390s,(28),spvoice_6
29,圓周率,2022/03/12 BANANA SURVIVAL?? - this is shu yamino btw not banana (Project Zomboid),https://www.youtube.com/watch?v=0BxpwZ5RsiM&t=11829s,(29),norvoice_23
30,Shu據機,2023/04/16 House Flipper!,https://www.youtube.com/watch?v=cFpXhB2qnkc&t=1747s,(30),norvoice_24
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
